date,url,contract,current_price,average_price,number_deals,volume_MT,amount_RUB
2018-10-15,https://fs.moex.com/files/17830/29208,FSGPFO,28105.0,,0.0,0.0,0.0
2018-10-12,https://fs.moex.com/files/17823/29199,FSGYFO,33902.0,,0.0,0.0,0.0
2018-10-12,https://fs.moex.com/files/17823/29199,FSGCFO,36000.0,36000.0,2.0,300.0,10800000.0
2018-10-12,https://fs.moex.com/files/17823/29199,FSGPFO,28105.0,,0.0,0.0,0.0
2018-10-11,https://fs.moex.com/files/17811/29184,FSGYFO,33902.0,,0.0,0.0,0.0
2018-10-11,https://fs.moex.com/files/17811/29184,FSGCFO,36200.0,,5.0,600.0,21710000.0
2018-10-11,https://fs.moex.com/files/17811/29184,FSGPFO,28105.0,,0.0,0.0,0.0
2018-10-10,https://fs.moex.com/files/17808/29171,FSGPFO,28105.0,,0.0,0.0,0.0
2018-10-10,https://fs.moex.com/files/17808/29171,FSGYFO,33902.0,,0.0,0.0,0.0
2018-10-10,https://fs.moex.com/files/17808/29171,FSGCFO,36000.0,,0.0,0.0,0.0
2018-10-09,https://fs.moex.com/files/17789/29148,FSGPFO,28105.0,,0.0,0.0,0.0
2018-10-09,https://fs.moex.com/files/17789/29148,FSGCFO,36000.0,,0.0,0.0,0.0
2018-10-09,https://fs.moex.com/files/17789/29148,FSGYFO,33902.0,,0.0,0.0,0.0
2018-10-08,https://fs.moex.com/files/17780/29141,FSGPFO,28105.0,,0.0,0.0,0.0
2018-10-08,https://fs.moex.com/files/17780/29141,FSGYFO,33902.0,,0.0,0.0,0.0
2018-10-08,https://fs.moex.com/files/17780/29141,FSGCFO,36000.0,,0.0,0.0,0.0
2018-10-05,https://fs.moex.com/files/17779/29122,FSGCFO,36000.0,,0.0,0.0,0.0
2018-10-05,https://fs.moex.com/files/17779/29122,FSGYFO,33902.0,,0.0,0.0,0.0
2018-10-05,https://fs.moex.com/files/17779/29122,FSGPFO,28105.0,,0.0,0.0,0.0
2018-10-04,https://fs.moex.com/files/17766/29092,FSGYFO,33902.0,,0.0,0.0,0.0
2018-10-04,https://fs.moex.com/files/17766/29092,FSGCFO,36000.0,36000.0,1.0,20.0,720000.0
2018-10-04,https://fs.moex.com/files/17766/29092,FSGPFO,28105.0,,0.0,0.0,0.0
2018-10-03,https://fs.moex.com/files/17762/29077,FSGPFO,28105.0,,0.0,0.0,0.0
2018-10-03,https://fs.moex.com/files/17762/29077,FSGCFO,36000.0,,0.0,0.0,0.0
2018-10-03,https://fs.moex.com/files/17762/29077,FSGYFO,33902.0,,0.0,0.0,0.0
2018-10-02,https://fs.moex.com/files/17752/29061,FSGCFO,36000.0,36000.0,2.0,240.0,8640000.0
2018-10-02,https://fs.moex.com/files/17752/29061,FSGYFO,33902.0,,0.0,0.0,0.0
2018-10-02,https://fs.moex.com/files/17752/29061,FSGPFO,28105.0,,0.0,0.0,0.0
2018-10-01,https://fs.moex.com/files/17742/29030,FSGPFO,28105.0,,0.0,0.0,0.0
2018-10-01,https://fs.moex.com/files/17742/29030,FSGCFO,36000.0,36065.22,7.0,460.0,16590000.0
2018-10-01,https://fs.moex.com/files/17742/29030,FSGYFO,33902.0,,0.0,0.0,0.0
2018-09-28,https://fs.moex.com/files/17732/29021,FSGYFO,33902.0,,0.0,0.0,0.0
2018-09-28,https://fs.moex.com/files/17732/29021,FSGPFO,28105.0,,0.0,0.0,0.0
